"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"Beer Empire",2,4,120,12,124,6.27,9669,3.2,"Action Queue, Area Majority , Influence, Auction,Bidding, Set Collection, Worker Placement","Basic",6,"4"
"London After Midnight 2: Sherlock in Hell",2,6,15,9,87,6.56,9670,1.33,"Card Drafting, Take That","Basic",6,"4"
"Global Powers",2,5,120,12,82,6.61,9671,3.08,"Area Majority , Influence, Auction,Bidding, Voting","Basic",19,"4"
"Manassas",2,4,240,0,36,8.65,9672,3.45,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio , Combat Results Table, Scenario , Mission , Campaign Game, Simulation, Variable Set-up, Zone of Control","Wargames",42,"5"
"Fist of Dragonstones: The Tavern Edition",3,6,60,8,87,6.55,9673,2,"Auction,Bidding, Set Collection","Basic",4,"4"
"Video Game High School",2,4,30,7,138,6.39,9674,2,"Dice Rolling, Hand Management, Variable Player Powers, Worker Placement","Basic",8,"4"
"End of Empire: 1744-1782",2,2,360,0,48,7.59,9675,2.82,"Hexagon Grid, Movement Points","Wargames",8,"4"
"Mystick Domination",2,5,30,12,105,6.43,9676,2.83,"Not mentioned","Basic",22,"4"
"Dork Tower",2,6,60,12,347,5.88,9677,1.9,"Card Drafting, Dice Rolling, Point to Point Movement, Variable Player Powers","Basic",19,"3"
"Pharaoh Code",2,5,20,10,227,6.04,9678,1.4,"Dice Rolling","Basic",11,"4"
"The Battle of Adobe Walls",2,2,0,12,45,7.68,9679,2.78,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio , Combat Results Table, Simulation, Zone of Control","Wargames",9,"4"
"Funkoverse Strategy Game: Tim Burton's The Nightmare Before Christmas",2,4,60,10,50,7.81,9680,2,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers","Basic",2,"4"
"Drôles de Zèbres",2,2,23,9,106,6.36,9681,1.5,"Tile Placement","Basic",18,"4"
"El portero Baldomero",3,8,20,10,79,6.66,9682,1,"Team-Based Game, Voting","Basic",5,"4"
"Kingpin",2,2,30,15,172,6.16,9683,2.29,"Grid Movement, Hand Management, Tile Placement, Variable Player Powers","Abstract Games, Strategy Games",13,"4"
"Battleground Fantasy Warfare: Dwarves of Runegard",2,2,60,12,47,7.44,9684,2.33,"Variable Phase Order","Wargames",16,"4"
"A Song of Ice & Fire: Tabletop Miniatures Game - Night's Watch Starter Set",2,2,60,14,37,8.43,9685,0,"Dice Rolling, Hand Management, Worker Placement","Basic",4,"5"
"Web and Starship",2,3,120,12,112,6.37,9686,3.53,"Action Queue, Dice Rolling, Movement Template, Network and Route Building, Point to Point Movement, Ratio , Combat Results Table, Simulation","Wargames",38,"4"
"Namiji",2,5,45,8,79,6.82,9687,2,"Point to Point Movement, Set Collection, Time Track, Variable Player Powers","Basic",1,"4"
"Battlewagon",2,6,60,10,118,6.36,9688,2.44,"Action Queue, Dice Rolling, Grid Movement, Hexagon Grid, Impulse Movement, Paper-and-Pencil, Scenario , Mission , Campaign Game","Wargames",41,"4"
"Birth of a Legend: Lee and the Seven Days",2,2,180,0,66,6.88,9689,2.92,"Area-Impulse, Dice Rolling","Wargames",11,"4"
"Brute Force: The War in the West, 1940-1945",2,6,360,12,76,6.67,9690,3.43,"Hexagon Grid","Wargames",19,"4"
"A Bridge Too Far: Operation Market Garden",2,5,90,12,57,7.03,9691,2.11,"Area Movement, Area-Impulse, Dice Rolling, Simulation","Wargames",12,"4"
"Skirmish",2,2,60,10,175,6.16,9692,1.75,"Card Play Conflict Resolution, Dice Rolling, Point to Point Movement, Roll , Spin and Move, Simulation","Wargames",47,"4"
"INWO SubGenius",2,4,120,12,206,6.04,9693,2.65,"Variable Player Powers","Customizable Games, Thematic Games",24,"4"
"Shadows Upon Lassadar",1,1,30,10,87,6.64,9694,2.14,"Campaign , Battle Card Driven, Dice Rolling, Hexagon Grid, Push Your Luck, Solo , Solitaire Game","Basic",11,"4"
"1862",4,7,360,12,46,7.35,9695,3.71,"Network and Route Building, Stock Holding, Tile Placement, Trading","Basic",22,"4"
"Marita-Merkur: The Campaign in the Balkans, 1940-41",2,2,120,12,89,6.72,9696,3.9,"Dice Rolling, Hexagon Grid, Simulation","Wargames",43,"4"
